RECORD CODE,CLIENT TYPE,CLIENT NUMBER,ACCOUNT NUMBER,SUBACCOUNT NUMBER,OPPOSITE PARTY CODE,PRODUCT GROUP CODE,EXCHANGE CODE,SYMBOL,EXPIRATION DATE,CURRENCY CODE,MOVEMENT CODE,BUY SELL CODE,QUANTTTY LONG SIGN,QUANTITY LONG,QUANTITY SHORT SIGN,QUANTITY SHORT,EXCH/BROKER FEE / DEC,EXCH/BROKER FEE / DC,EXCH/BROKER FEE CUR CODE,CLEARING FEE / DEC,CLEARING FEE D C,CLEARING FEE CUR CODE,COMMISSION,COMMISSION D C,COMMISSION CUR CODE,TRANSACTION DATE,FUTURE REFERENCE,TICKET NUMBER,EXTERNAL NUMBER,TRANSACTION PRICE / DEC,TRADER INITIALS,OPPOSITE TRADER ID,OPEN CLOSE CODE
315,"CL  ",4321,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001238,"0     ",688032,000092500000000,"      ","       ",O
315,"CL  ",4321,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001240,"0     ",688058,000092500000000,"      ","       ",O
315,"CL  ",4321,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001245,"0     ",688098,000092500000000,"      ","       ",O
315,"CL  ",4321,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001253,"0     ",688158,000092450000000,"      ","       ",O
315,"CL  ",4321,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001255,"0     ",688162,000092450000000,"      ","       ",O
315,"CL  ",4321,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001312,"0     ",689000,000092250000000,"      ","       ",O
315,"CL  ",4321,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001335,"0     ",689458,000092150000000,"      ","       ",O
315,"CL  ",4321,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001427,"0     ",691050,000092350000000,"      ","       ",O
315,"CL  ",4321,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001428,"0     ",691052,000092350000000,"      ","       ",O
315,"CL  ",4321,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001601,"0     ",765563,000092050000000,"      ","       ",O
315,"CL  ",4321,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001602,"0     ",765565,000092050000000,"      ","       ",O
315,"CL  ",4321,0002,0001,"SGXDC ",FU,"SGX ","NK    ",20100910,JPY,01,B," ",0000000001," ",0000000000,000000000060,D,USD,000000000030,D,USD,000000000000,D,JPY,20100820,001732,"0     ",766581,000091800000000,"      ","       ",O
315,"CL  ",4321,0003,0001,"FCC   ",FU,"CME ","N1    ",20100910,JPY,01,S," ",0000000000," ",0000000003,000000000000,D,USD,000000000015,D,USD,000000000000,D,JPY,20100819,059475,"      ",000308,000093300000000,"      ","       ",O
315,"CL  ",4321,0003,0001,"FCC   ",FU,"CME ","N1    ",20100910,JPY,01,S," ",0000000000," ",0000000003,000000000000,D,USD,000000000015,D,USD,000000000000,D,JPY,20100819,059610,"      ",000443,000092100000000,"      ","       ",O
